layer,kind,tensor,type,cols,rows,batch,calls,ms
19,ffn_down,blk.19.ffn_down.weight,Q4_0,11008,4096,32,4,201.307349
20,q_proj,blk.20.attn_q.weight,Q4_0,4096,4096,32,4,76.239481
20,k_proj,blk.20.attn_k.weight,Q4_0,4096,4096,32,4,77.995340
20,v_proj,blk.20.attn_v.weight,Q4_0,4096,4096,32,4,76.378818
20,o_proj,blk.20.attn_output.weight,Q4_0,4096,4096,32,4,77.169001
20,ffn_gate,blk.20.ffn_gate.weight,Q4_0,4096,11008,32,4,208.193276
20,ffn_up,blk.20.ffn_up.weight,Q4_0,4096,11008,32,4,208.241386
20,ffn_down,blk.20.ffn_down.weight,Q4_0,11008,4096,32,4,201.768875
21,q_proj,blk.21.attn_q.weight,Q4_0,4096,4096,32,4,76.763126
21,k_proj,blk.21.attn_k.weight,Q4_0,4096,4096,32,4,76.812546
21,v_proj,blk.21.attn_v.weight,Q4_0,4096,4096,32,4,77.670998
21,o_proj,blk.21.attn_output.weight,Q4_0,4096,4096,32,4,77.614383
21,ffn_gate,blk.21.ffn_gate.weight,Q4_0,4096,11008,32,4,207.971311
21,ffn_up,blk.21.ffn_up.weight,Q4_0,4096,11008,32,4,207.402010
21,ffn_down,blk.21.ffn_down.weight,Q4_0,11008,4096,32,4,201.866637
22,q_proj,blk.22.attn_q.weight,Q4_0,4096,4096,32,4,76.211961
22,k_proj,blk.22.attn_k.weight,Q4_0,4096,4096,32,4,76.721097
22,v_proj,blk.22.attn_v.weight,Q4_0,4096,4096,32,4,76.638388
22,o_proj,blk.22.attn_output.weight,Q4_0,4096,4096,32,4,77.216628
22,ffn_gate,blk.22.ffn_gate.weight,Q4_0,4096,11008,32,4,208.302496
22,ffn_up,blk.22.ffn_up.weight,Q4_0,4096,11008,32,4,207.936366
22,ffn_down,blk.22.ffn_down.weight,Q4_0,11008,4096,32,4,202.642784
23,q_proj,blk.23.attn_q.weight,Q4_0,4096,4096,32,4,76.708848
23,k_proj,blk.23.attn_k.weight,Q4_0,4096,4096,32,4,76.823107
23,v_proj,blk.23.attn_v.weight,Q4_0,4096,4096,32,4,77.188168
23,o_proj,blk.23.attn_output.weight,Q4_0,4096,4096,32,4,78.858557
23,ffn_gate,blk.23.ffn_gate.weight,Q4_0,4096,11008,32,4,208.255037
23,ffn_up,blk.23.ffn_up.weight,Q4_0,4096,11008,32,4,209.568114
23,ffn_down,blk.23.ffn_down.weight,Q4_0,11008,4096,32,4,202.123393
24,q_proj,blk.24.attn_q.weight,Q4_0,4096,4096,32,4,77.696596
