phase,layer,kind,tensor,type,cols,rows,batch,calls,ms
decode,3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,1,16,14.406953
decode,3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,1,16,14.875540
decode,3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,1,16,38.726689
decode,3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,1,16,38.848247
decode,3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,1,16,39.707023
decode,4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,1,16,14.471884
decode,4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,1,16,14.401778
decode,4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,1,16,14.344971
decode,4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,1,16,14.865869
decode,4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,1,16,38.553087
decode,4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,1,16,38.496154
decode,4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,1,16,39.753238
decode,5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,1,16,14.487221
decode,5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,1,16,14.394906
decode,5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,1,16,14.407476
decode,5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,1,16,14.928003
decode,5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,1,16,38.686159
decode,5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,1,16,38.504828
decode,5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,1,16,39.773490
decode,6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,1,16,14.512581
decode,6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,1,16,14.534321
decode,6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,1,16,14.424402
decode,6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,1,16,16.718928
decode,6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,1,16,38.606293
decode,6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,1,16,38.595910
decode,6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,1,16,39.818773
decode,7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,1,16,14.426491
decode,7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,1,16,15.392259
decode,7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,1,16,14.458253
decode,7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,1,16,14.892100
decode,7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,1,16,40.762011
decode,7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,1,16,38.734752
decode,7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,1,16,39.572261
decode,8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,1,16,14.356799
decode,8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,1,16,14.431642
decode,8,v_proj,blk.8.attn_v.weight,Q4_0,4096,4096,1,16,14.437905
decode,8,o_proj,blk.8.attn_output.weight,Q4_0,4096,4096,1,16,14.969645
decode,8,ffn_gate,blk.8.ffn_gate.weight,Q4_0,4096,11008,1,16,38.636672
decode,8,ffn_up,blk.8.ffn_up.weight,Q4_0,4096,11008,1,16,38.790287
decode,8,ffn_down,blk.8.ffn_down.weight,Q4_0,11008,4096,1,16,40.283942
decode,9,q_proj,blk.9.attn_q.weight,Q4_0,4096,4096,1,16,14.399805
decode,9,k_proj,blk.9.attn_k.weight,Q4_0,4096,4096,1,16,14.526154
decode,9,v_proj,blk.9.attn_v.weight,Q4_0,4096,4096,1,16,14.398066
decode,9,o_proj,blk.9.attn_output.weight,Q4_0,4096,4096,1,16,14.882975
decode,9,ffn_gate,blk.9.ffn_gate.weight,Q4_0,4096,11008,1,16,38.488097
decode,9,ffn_up,blk.9.ffn_up.weight,Q4_0,4096,11008,1,16,38.569214
decode,9,ffn_down,blk.9.ffn_down.weight,Q4_0,11008,4096,1,16,39.477939
decode,10,q_proj,blk.10.attn_q.weight,Q4_0,4096,4096,1,16,14.382495
decode,10,k_proj,blk.10.attn_k.weight,Q4_0,4096,4096,1,16,14.401251
decode,10,v_proj,blk.10.attn_v.weight,Q4_0,4096,4096,1,16,14.379695
decode,10,o_proj,blk.10.attn_output.weight,Q4_0,4096,4096,1,16,14.954197
decode,10,ffn_gate,blk.10.ffn_gate.weight,Q4_0,4096,11008,1,16,38.659039
decode,10,ffn_up,blk.10.ffn_up.weight,Q4_0,4096,11008,1,16,38.729627
decode,10,ffn_down,blk.10.ffn_down.weight,Q4_0,11008,4096,1,16,39.593932
