layer,kind,tensor,type,cols,rows,batch,calls,ms
22,q_proj,blk.22.attn_q.weight,Q4_0,4096,4096,32,4,107.113907
22,k_proj,blk.22.attn_k.weight,Q4_0,4096,4096,32,4,105.873562
22,v_proj,blk.22.attn_v.weight,Q4_0,4096,4096,32,4,105.358501
22,o_proj,blk.22.attn_output.weight,Q4_0,4096,4096,32,4,108.377286
22,ffn_gate,blk.22.ffn_gate.weight,Q4_0,4096,11008,32,4,291.377658
22,ffn_up,blk.22.ffn_up.weight,Q4_0,4096,11008,32,4,289.195793
22,ffn_down,blk.22.ffn_down.weight,Q4_0,11008,4096,32,4,289.882107
23,q_proj,blk.23.attn_q.weight,Q4_0,4096,4096,32,4,107.009989
23,k_proj,blk.23.attn_k.weight,Q4_0,4096,4096,32,4,106.174328
23,v_proj,blk.23.attn_v.weight,Q4_0,4096,4096,32,4,107.621031
23,o_proj,blk.23.attn_output.weight,Q4_0,4096,4096,32,4,107.555660
23,ffn_gate,blk.23.ffn_gate.weight,Q4_0,4096,11008,32,4,286.624755
23,ffn_up,blk.23.ffn_up.weight,Q4_0,4096,11008,32,4,291.109032
23,ffn_down,blk.23.ffn_down.weight,Q4_0,11008,4096,32,4,290.965247
24,q_proj,blk.24.attn_q.weight,Q4_0,4096,4096,32,4,105.519414
24,k_proj,blk.24.attn_k.weight,Q4_0,4096,4096,32,4,106.674224
24,v_proj,blk.24.attn_v.weight,Q4_0,4096,4096,32,4,105.183946
24,o_proj,blk.24.attn_output.weight,Q4_0,4096,4096,32,4,108.966134
24,ffn_gate,blk.24.ffn_gate.weight,Q4_0,4096,11008,32,4,286.985262
24,ffn_up,blk.24.ffn_up.weight,Q4_0,4096,11008,32,4,287.970037
24,ffn_down,blk.24.ffn_down.weight,Q4_0,11008,4096,32,4,289.425935
25,q_proj,blk.25.attn_q.weight,Q4_0,4096,4096,32,4,105.425136
25,k_proj,blk.25.attn_k.weight,Q4_0,4096,4096,32,4,107.191089
25,v_proj,blk.25.attn_v.weight,Q4_0,4096,4096,32,4,106.589826
25,o_proj,blk.25.attn_output.weight,Q4_0,4096,4096,32,4,108.098378
25,ffn_gate,blk.25.ffn_gate.weight,Q4_0,4096,11008,32,4,288.055881
25,ffn_up,blk.25.ffn_up.weight,Q4_0,4096,11008,32,4,290.035257
25,ffn_down,blk.25.ffn_down.weight,Q4_0,11008,4096,32,4,288.875413
26,q_proj,blk.26.attn_q.weight,Q4_0,4096,4096,32,4,107.401041
26,k_proj,blk.26.attn_k.weight,Q4_0,4096,4096,32,4,106.752519
26,v_proj,blk.26.attn_v.weight,Q4_0,4096,4096,32,4,106.172862
26,o_proj,blk.26.attn_output.weight,Q4_0,4096,4096,32,4,109.450605
26,ffn_gate,blk.26.ffn_gate.weight,Q4_0,4096,11008,32,4,289.067860
26,ffn_up,blk.26.ffn_up.weight,Q4_0,4096,11008,32,4,287.248859
26,ffn_down,blk.26.ffn_down.weight,Q4_0,11008,4096,32,4,290.822706
27,q_proj,blk.27.attn_q.weight,Q4_0,4096,4096,32,4,106.181049
27,k_proj,blk.27.attn_k.weight,Q4_0,4096,4096,32,4,107.714074
27,v_proj,blk.27.attn_v.weight,Q4_0,4096,4096,32,4,106.261576
27,o_proj,blk.27.attn_output.weight,Q4_0,4096,4096,32,4,106.412494
27,ffn_gate,blk.27.ffn_gate.weight,Q4_0,4096,11008,32,4,286.543612
27,ffn_up,blk.27.ffn_up.weight,Q4_0,4096,11008,32,4,286.667428
27,ffn_down,blk.27.ffn_down.weight,Q4_0,11008,4096,32,4,288.202078
28,q_proj,blk.28.attn_q.weight,Q4_0,4096,4096,32,4,105.360199
28,k_proj,blk.28.attn_k.weight,Q4_0,4096,4096,32,4,107.127869
28,v_proj,blk.28.attn_v.weight,Q4_0,4096,4096,32,4,108.166855
28,o_proj,blk.28.attn_output.weight,Q4_0,4096,4096,32,4,109.266921
28,ffn_gate,blk.28.ffn_gate.weight,Q4_0,4096,11008,32,4,290.030438
28,ffn_up,blk.28.ffn_up.weight,Q4_0,4096,11008,32,4,288.836764
28,ffn_down,blk.28.ffn_down.weight,Q4_0,11008,4096,32,4,289.205275
29,q_proj,blk.29.attn_q.weight,Q4_0,4096,4096,32,4,106.028719
29,k_proj,blk.29.attn_k.weight,Q4_0,4096,4096,32,4,107.826465
